environment,collective,lnc,world_size,config_ws,size_bytes,duration_us,throughput_gbps,busbw_gbps,jobid,source_log
trn2_3xl,all_gather,1,4,4,134217728,9919.623,54.122,40.592,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,268435456,24254.456,44.27,33.202,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,536870912,48620.254,44.168,33.126,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_gather,1,4,4,1073741824,94466.417,45.466,34.099,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_gather.log
trn2_3xl,all_reduce,1,4,4,32,531.996,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,64,307.501,0.0,0.0,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,128,289.431,0.001,0.001,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,256,437.2,0.001,0.001,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,512,278.407,0.004,0.003,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,1024,328.451,0.006,0.005,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,2048,309.074,0.013,0.01,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,4096,572.467,0.014,0.011,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,8192,320.968,0.051,0.038,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,16384,537.198,0.061,0.046,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,32768,364.712,0.18,0.135,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,65536,497.658,0.263,0.198,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
trn2_3xl,all_reduce,1,4,4,131072,544.39,0.482,0.361,,/Users/jburtoft/Documents/opencode/working/collective/task-010/logs/phase_c/lnc1_ws4/all_reduce.log
